번호,데이터 유형,제공하고자 하는 정보,정보 출처,판단·산출 기준,사용자에게 주는 가치
①,시각·식별,제품 사진 / 트루 인증 배지,products.image (정적 에셋),이미지 직접 표시 / 인증 배지는 UI 표시(별도 검증 로직 없음),정보 — 어떤 제품인지 즉시 인지
②,텍스트·요약,브랜드·제품명 / 신뢰 한줄평 / 주의 문구,제품명 파생(brandFromName) + trustHeadline·trustWarning(제품별 또는 기본 카피),브랜드=이름 첫 토큰 / 배너 문구는 제품 데이터 또는 하드코딩,신뢰 — 한 문장으로 제품을 어떻게 봐야 하는지 방향 제시
③,정량 KPI,신뢰도 % / 광고 의심 % / 리뷰 수 / 인기도 점수,reviews NLP 분석 + reviews.length + popularityScore,후기별 analyzeReviewText() 평균(광고 키워드·짧은 글·반복 문장 가중) / 신뢰도=100−광고의심×0.42−반복패널티,신뢰+정보 — 핵심 지표 4개 숫자 비교
④,커머스,4개 판매처별 가격 / 최저가 태그,Mock buildMockShops(),popularityScore+제품ID 시드 기준가 / 판매처별 오프셋 / 최저가=지그재그 고정,이득 — 어디서 저렴한지 비교(프로토타입)
⑤,시계열 차트,최저가 추이 / 기간·탭 UI,Mock buildMockTrend(),인기도+ID 기반 7포인트 사인파 / 탭·기간은 UI만(데이터 미연동),이득 — 구매 타이밍 판단 보조
⑥,개인화 판단,나에게 적합할까요? 결론 + 근거 3항,프로필(skinType·concerns) + insightsBySkin + reviews + KPI,matchDecision(): 피부타입·고민 일치 후기·부정 테마 교차 / 근거 수치는 KPI 재활용,맞춤+신뢰 — 내 조건 구매 전 1차 판단
⑦,5축 속성 차트,보습·진정·저자극·발림성·지속력 점수,realUserThemes + marketingClaims,productAttributeScores(): 축별 키워드 매칭 +11 / 부정 −13 / 인기도 시드 보정(22~95점),정보+신뢰 — 체감 속성 한눈 비교
⑧,분포 차트,피부타입별 리뷰 비율·건수,reviews.skinType (없으면 Mock),skinType 집계 / 후기 0건 시 인기도 시드 Mock 분포,정보 — 누가 써봤는지 대표성 파악
⑨,만족도 차트,타입별 긍정·부정 만족도 %,reviews 텍스트 분석 (없으면 Mock),타입별 trustScore 평균=긍정% / 후기 없으면 시드 60~85%,신뢰 — 내 피부타입 만족도 확인
⑩,키워드 막대,반복 장점 TOP3 / 단점·리스크 TOP3,realUserThemes.positive·negative·risks,키워드 3개씩 추출 / 막대%는 고정값(44·33·16 / 14·12·7),정보 — 실사용자 반복 포인트 빠른 파악
⑪,타입별 인사이트,지성·건성·민감성·복합성 요약 + 리스크 경고,insightsBySkin + realUserThemes.negative,칩 선택 시 insightsBySkin 표시 / 부정 테마 1건 리스크 강조,맞춤+신뢰 — 내 피부타입 관점 해석
⑫,대조 비교,마케팅 주장 vs 실제 사용자 경험,marketingClaims vs realUserThemes,좌우 나열 대조(자동 일치 점수 없음),신뢰 — 광고 문구와 후기 괴리 스스로 비교
⑬,신뢰·광고 심화,신뢰 게이지 / 광고 의심 세부 3항 / 문구 패턴 수,KPI + 고정 UI,게이지=신뢰도% / 세부=광고의심×계수 / 패턴 수·태그는 Mock,신뢰 — 광고 같아 보이는 이유 구체화
⑭,브랜드,브랜드명 / 소개 / 좋아요 수,제품명 파생 + 고정 카피·수치,브랜드 2글자 로고 / 설명·좋아요는 UI 목업,정보+신뢰 — 브랜드 신뢰·추가 탐색 유도
